gid,strategy_name,method,family,tickers,status,reason,video_id,url
g001,Price Channel Breakout Strategy,template,donchian_breakout,,accepted,ok,aMrKe4ndzCA,https://www.youtube.com/watch?v=aMrKe4ndzCA
,Super AI Trading Bot,failed,,,rejected,ast: imports are not allowed (np and pd are provided),_7oFVtjoDf4,https://www.youtube.com/watch?v=_7oFVtjoDf4
,Gold Dip Swing Strategy,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,pHXkVW6SE8c,https://www.youtube.com/watch?v=pHXkVW6SE8c
g002,Stochastic Slow RSI MACD Strategy,template,stochastic,,accepted,ok,r8pU-8l1KPU,https://www.youtube.com/watch?v=r8pU-8l1KPU
,ADX-based Trend Strength Trading (Multiple Variants),failed,,,rejected,"ast: syntax error: '(' was never closed (<unknown>, line 73)",-5P7lGgsauk,https://www.youtube.com/watch?v=-5P7lGgsauk
g003,Long-only Momentum Strategy with 200-day SMA Exit,template,ma_crossover,,accepted,ok,unsa_gXPAJ4,https://www.youtube.com/watch?v=unsa_gXPAJ4
g004,8 SMA and 25 SMA Crossover Strategy,template,ma_crossover,,accepted,ok,sYRCzSbvOpQ,https://www.youtube.com/watch?v=sYRCzSbvOpQ
,Consecutive Down Reversal,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,RkKB725yyn4,https://www.youtube.com/watch?v=RkKB725yyn4
g005,Dynamic Allocation Strategy (QQQ/BND),template,allocation,QQQ/BND,accepted,ok,-F3ITjfelrM,https://www.youtube.com/watch?v=-F3ITjfelrM
g006,Linear Regression Mean Reversion Strategy,template,linreg_mr,,accepted,ok,qHISgnYkB7Y,https://www.youtube.com/watch?v=qHISgnYkB7Y
g007,Ray Natio RSI Moving Average Strategy,template,rsi_meanrev,,accepted,ok,rYfe9Bg2GcY,https://www.youtube.com/watch?v=rYfe9Bg2GcY
g008,Stochastic K + 200-day SMA Buy Limit Order Strategy,template,stochastic,,accepted,ok,nAfnAuvRpqE,https://www.youtube.com/watch?v=nAfnAuvRpqE
,YouTube Chart Pattern,failed,,,rejected,"ast: syntax error: '[' was never closed (<unknown>, line 74)",dNWyEdOo9w4,https://www.youtube.com/watch?v=dNWyEdOo9w4
g009,Stock Price Prediction Using Technical Indicators,template,macd,,accepted,ok,CoqDzEmJAVo,https://www.youtube.com/watch?v=CoqDzEmJAVo
,Dynamic Swing VWAP/ADX Multi-Indicator Backtesting Framework,failed,,,rejected,ast: imports are not allowed (np and pd are provided),ev4GG4E4h-g,https://www.youtube.com/watch?v=ev4GG4E4h-g
g010,DCA Pop,template,bollinger,,accepted,ok,YQGp7Fk2X3E,https://www.youtube.com/watch?v=YQGp7Fk2X3E
,Simple Moving Average Crossover,failed,ma_crossover,,rejected,template invalid: trivial: position never changes,DAFQ0HHo8iY,https://www.youtube.com/watch?v=DAFQ0HHo8iY
