drop_reason,strategy_name,approach,asset_class,entry_rules,exit_rules,url
not_rule_based,Direction Strength AI,ML,Crypto (Binance futures),"Places bid and ask simultaneously, measures fill speed asymmetry to determine market direction strength","Initial take profit at 5% (adjustable). When TP threshold hit, sends last 20 1-minute bars to Claude 4.5 asking 'hold or close'. If AI says hold, waits 120 seconds then re-asks. Force closes if P&L drops below 1% or hits stop loss. Max position time triggers AI decision.",https://www.youtube.com/watch?v=if4BRU2PXFs
no_strategy,,,,,,https://www.youtube.com/watch?v=QTnAuUlNEvU
not_rule_based,Stock Price Prediction using Support Vector Regression,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=SSu00IRRraY
no_strategy,,,,,,https://www.youtube.com/watch?v=bj3LLU1RJFE
not_rule_based,Reinforcement Learning Trading Strategy using PPO,RL,Stocks (Indian stock market),"Agent learns buy/sell actions (0=buy, 1=sell) through RL training on historical data",Agent learns through reward/penalty system based on portfolio performance,https://www.youtube.com/watch?v=DQ96c9V0ssA
no_strategy,,,,,,https://www.youtube.com/watch?v=oRTmQQPNTrc
no_strategy,,,,,,https://www.youtube.com/watch?v=4HGvOlIC-gs
not_rule_based,Deep Q-Learning Automated Stock Trading,RL,Equities (single stock - Google),Buy action when Q-network predicts buy; uses full balance to purchase maximum shares possible,"Sell action when Q-network predicts sell; sells all shares back to balance. Reward function: if holding stock, reward = price change; if not holding, reward = inverse of price change",https://www.youtube.com/watch?v=XaCD2jaZD7U
no_strategy,,,,,,https://www.youtube.com/watch?v=fRPff8vxPwc
no_strategy,,,,,,https://www.youtube.com/watch?v=gPF9Y8h4YJM
not_rule_based,Pattern Recognition Trading System,ML,Equities,When historical patterns matching current price pattern are identified with required similarity threshold,"Directional: continue selling if prediction is falling, hold if prediction is rising",https://www.youtube.com/watch?v=nN6Ng8k9wzU
not_rule_based,LSTM Stock Price Prediction Model,deep-learning,Stocks,"Not applicable - forecasting model, not a trading strategy","Not applicable - forecasting model, not a trading strategy",https://www.youtube.com/watch?v=mEx8XOYsjXo
prediction_market_or_sports,Candlestick Pattern Trading with TAE Framework,rule-based,Forex/Stocks (unspecified),Use candlestick patterns as entry triggers within identified trends and areas of value. Engulfing patterns signal reversals; Hammer/Shooting Star show price rejection; Doji patterns indicate indecision with rejection; Morning/Evening Stars are reversal patterns; Tweezer patterns show repeated price rejection.,Not specified in transcript,https://www.youtube.com/watch?v=C3KRwfj9F8Q
not_rule_based,Recurring Neural Network (RNN) Trading Strategy,deep-learning,Equities (SPY),Not fully disclosed in transcript; available to course members,Not fully disclosed in transcript; available to course members,https://www.youtube.com/watch?v=Kqs8TR2HJEk
not_rule_based,Sentiment Analysis Stock Trading Strategy,sentiment,Equities,Not explicitly defined in transcript,Not explicitly defined in transcript,https://www.youtube.com/watch?v=o-zM8onpQZY
no_strategy,,,,,,https://www.youtube.com/watch?v=PUDbuDfdgkQ
not_rule_based,Autonomous AI Trading Bot with Cognitive Hierarchy Ecosystem,deep-learning,Forex/Commodities (Gold example shown),Buy signal from ML model + passes 70% confidence filter + market in uptrend + bullish direction + no anomaly detected,Sell signal from ML model + passes confidence filter + market in trend + bearish direction + no anomaly detected; Kelly criteria for position sizing and drawdown recovery,https://www.youtube.com/watch?v=dwooYvl7OdA
not_rule_based,CNN-based Multivariate Time Series Stock Price Prediction,deep-learning,equities,Binary classification: predict if next day's high > previous day's high,Not specified,https://www.youtube.com/watch?v=zrf2wcliQsk
no_strategy,,,,,,https://www.youtube.com/watch?v=Sq6p9poU0ig
no_strategy,,,,,,https://www.youtube.com/watch?v=8yDmq03XAHQ
not_rule_based,Predicting Stock Trends Using Technical Analysis and Machine Learning,ML,Equities,Buy signal from Random Forest classifier on technical indicators; invest full 10% of portfolio in stock on buy signal,No action (hold in cash at 0% return) when machine learning algorithm does not signal buy,https://www.youtube.com/watch?v=Yyr8gz50uC8
not_rule_based,Neural Network Stock Trading System,deep-learning,stocks,next bar probability from TCN embedding with neutral zone deadband,"signal inversity scaled by forecast volatility, capped exposure",https://www.youtube.com/watch?v=R9XoCwRhmXw
not_rule_based,Stock Price Forecasting with Neural Networks (NixtaML),deep-learning,"Equities, Cryptocurrencies",Not specified; focus is on price prediction rather than trading signals,Not specified; focus is on price prediction rather than trading signals,https://www.youtube.com/watch?v=088pe08kc28
prediction_market_or_sports,Polymarket Weather Markets Scanner & Trading Bot,rule-based,Prediction Markets (Weather),"Identify temperature discrepancies between Open-Meteo ensemble forecast and Polymarket market favorite (e.g., 1-3°C edges); rank by 24-hour volume; filter for tomorrow's markets only",Not explicitly detailed in transcript,https://www.youtube.com/watch?v=UN4c_UwDKcM
no_strategy,,,,,,https://www.youtube.com/watch?v=qNRIxQP3ngI
no_concrete_entry,Simple Moving Average (SMA) Strategy,rule-based,Not specified,Not detailed in transcript,Not detailed in transcript,https://www.youtube.com/watch?v=PqvAFcaImdY
not_rule_based,Stock Price Prediction using Stacked LSTM,deep-learning,Equities,Not applicable - forecasting model,Not applicable - forecasting model,https://www.youtube.com/watch?v=H6du_pfuznE
not_rule_based,Bitcoin Price Forecasting with Ensemble Neural Networks,deep-learning,Cryptocurrency,Not specified,Not specified,https://www.youtube.com/watch?v=L7tZq_tOPBM
no_strategy,,,,,,https://www.youtube.com/watch?v=Jd_AaTPYFUM
no_strategy,,,,,,https://www.youtube.com/watch?v=M3ynIU3CVNs
no_strategy,,,,,,https://www.youtube.com/watch?v=L1kuJms0jLI
not_rule_based,AI Scalp Trading,ML,Futures/Contracts,AI tool analyzes chart screenshot and signals buy orders with specific SLNTP levels,Take profit levels provided by AI tool,https://www.youtube.com/watch?v=FgHNF3XGEzE
no_strategy,,,,,,https://www.youtube.com/watch?v=-j1ySNFy5sQ
prediction_market_or_sports,Hyper Gambler - Poly Market 5-Minute Trading Bot,rule-based,Prediction Markets (Poly Market),"Simple entry logic; variations include: (1) no entry in last 2 minutes of market, (2) liquidation threshold of 25,000",Cancel pending orders if conditions not met; stop running if Solana balance below 0.005,https://www.youtube.com/watch?v=7rt79-3UMY4
no_strategy,,,,,,https://www.youtube.com/watch?v=UXaTFpU1ap0
no_strategy,,,,,,https://www.youtube.com/watch?v=PDQ-sg9HoyE
no_strategy,,,,,,https://www.youtube.com/watch?v=zRNnhzCiz0A
no_strategy,,,,,,https://www.youtube.com/watch?v=qmsROdXwWiY
not_rule_based,SPY Stock Price Prediction using LSTM,deep-learning,Equities (ETF),Not specified,Not specified,https://www.youtube.com/watch?v=zR_WkLALzrY
no_nameable_indicator,GARCH Volatility Forecasting for Stock Trading,rule-based,Equities,Buy stock when predicted volatility is low (less risky periods),Sell or avoid when predicted volatility is high,https://www.youtube.com/watch?v=NKHQiN-08S8
not_rule_based,Q-Learning Reinforcement Learning for Tesla Stock Trading,RL,Equities (Tesla/TSLA),Buy action (action=1) when algorithm owns no stock and has capital available; triggered by Q-table decision or random exploration,Sell action (action=2) when algorithm owns stock; Hold action (action=0) otherwise,https://www.youtube.com/watch?v=pbsqkaqc3FM
prediction_market_or_sports,Stink Bid Strategy for NBA Polymarket,rule-based,Sports betting / Prediction markets,Place bids 30% below current market price on the favorite in every NBA game during Q1 and Q2 only. Refresh bids every 15 minutes. Bet size: $5 per bid.,Cancel all bids once Q3 starts (second half begins). Hold filled positions to expiration. Expect favorite to win and collect $1 per share.,https://www.youtube.com/watch?v=IHFsEL23A-s
prediction_market_or_sports,Polymarket 5-Minute Bot,rule-based,Prediction Markets (Polymarket),Buy/sell based on liquidation data and momentum signals; places orders at 10% discount to current price,5-minute market expiration,https://www.youtube.com/watch?v=q-KKZTD0WiM
not_rule_based,Bitcoin Price Forecasting with Machine Learning,ML,Cryptocurrency,Not specified,Not specified,https://www.youtube.com/watch?v=58qj2DkD454
